Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,Fluo 0.04 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
634.0421143,0.002901600208,,,634.0421143,-8.795161557E-5,634.0421143,-0.0001788869704,634.0421143,0.0004569464363,
633.0151367,0.00320863747,,,633.0151367,0.0002139484423,633.0151367,0.0001762156462,633.0151367,0.0009234534809,
631.987915,0.002575379563,,,631.987915,-8.008380246E-5,631.987915,-0.0001940496295,631.987915,0.000303644978,
630.9603882,0.002834137296,,,630.9603882,-6.983472849E-5,630.9603882,-0.0003117622109,630.9603882,0.0003601195349,
629.9325562,0.00271703396,,,629.9325562,-0.0001382608316,629.9325562,-9.695801418E-5,629.9325562,0.0001549551671,
629.0512695,0.002698461758,,,629.0512695,-0.0003939610033,629.0512695,-0.0001533731556,629.0512695,0.0003290317254,
628.0228882,0.002701118588,,,628.0228882,-0.0002861527319,628.0228882,-0.0003236610501,628.0228882,0.0005758525804,
626.9942017,0.002871606732,,,626.9942017,-6.67852828E-6,626.9942017,2.707756721E-5,626.9942017,0.000553691294,
625.96521,0.002604597481,,,625.96521,-4.436628296E-5,625.96521,-0.0001697270054,625.96521,0.00031149399,
624.9359741,0.002929927781,,,624.9359741,0.0001148971278,624.9359741,3.893424218E-5,624.9359741,0.0004644872679,
624.0534668,0.002764991717,,,624.0534668,0.0001716578845,624.0534668,-9.038439748E-5,624.0534668,0.0007533911848,
623.0236816,0.002974416362,,,623.0236816,0.0002160203439,623.0236816,8.789175627E-5,623.0236816,0.0004442750651,
621.9935303,0.003112055361,,,621.9935303,0.0001204382206,621.9935303,3.349773397E-5,621.9935303,0.0004388852976,
620.9631348,0.002793675056,,,620.9631348,-8.749369044E-6,620.9631348,-0.0001944118703,620.9631348,0.0003890850348,
619.9324341,0.002903736895,,,619.9324341,-7.801329775E-5,619.9324341,-7.563221152E-5,619.9324341,0.0005075578811,
619.0487061,0.003026416991,,,619.0487061,8.877205983E-5,619.0487061,0.000153297864,619.0487061,0.0006243780954,
618.0174561,0.002944287611,,,618.0174561,0.000185124125,618.0174561,-8.904681636E-6,618.0174561,0.0002170563093,
616.9859009,0.003100245027,,,616.9859009,0.0003452748351,616.9859009,0.0001252025831,616.9859009,0.0006326736184,
615.9541016,0.003044951009,,,615.9541016,-4.193324276E-5,615.9541016,-4.747227285E-5,615.9541016,0.0006640165229,
615.069458,0.003153016791,,,615.069458,0.0003002774611,615.069458,3.598298645E-5,615.069458,0.0007755886181,
614.0370483,0.002958022524,,,614.0370483,0.000119169461,614.0370483,0.0001408684038,614.0370483,0.0005896164803,
613.0043945,0.003246060805,,,613.0043945,0.0002741412609,613.0043945,0.0001791160612,613.0043945,0.0006986544468,
611.9714355,0.003299841424,,,611.9714355,0.0001996266947,611.9714355,7.217607345E-5,611.9714355,0.000720278651,
610.9382324,0.003222537227,,,610.9382324,0.0001948097051,610.9382324,-3.375398956E-5,610.9382324,0.0005555315292,
610.0523682,0.003392630024,,,610.0523682,0.0002551811631,610.0523682,0.0004344543559,610.0523682,0.0006093428819,
609.0185547,0.003359967843,,,609.0185547,0.0002390968293,609.0185547,0.0002227282093,609.0185547,0.0004856333253,
607.9844971,0.00351153384,,,607.9844971,0.0004839229514,607.9844971,0.0002250850375,607.9844971,0.0008674503188,
606.9501343,0.003399074078,,,606.9501343,0.0002191023232,606.9501343,4.188551611E-5,606.9501343,0.000723156787,
