Fluo 0.1 target,,Fluo 0.1 target,,Fluo 0.08 target,,Fluo 0.06 target,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
609.0185547,0.003359967843,,,609.0185547,0.0002390968293,609.0185547,0.0002227282093,
607.9844971,0.00351153384,,,607.9844971,0.0004839229514,607.9844971,0.0002250850375,
606.9501343,0.003399074078,,,606.9501343,0.0002191023232,606.9501343,4.188551611E-5,
606.0633545,0.00341389305,,,606.0633545,0.0003145248338,606.0633545,0.0001898633054,
605.0284424,0.003338994458,,,605.0284424,0.0003746020375,605.0284424,0.0006830721977,
603.9932861,0.003469338408,,,603.9932861,0.000511730439,603.9932861,0.0005267104134,
602.9578247,0.00332115218,,,602.9578247,0.0003486686037,602.9578247,0.0004773665278,
602.0700684,0.00358395651,,,602.0700684,0.0005221749307,602.0700684,0.0005782372318,
601.0341187,0.003374889959,,,601.0341187,0.0003295498318,601.0341187,0.0003945778008,
599.9978638,0.003757089376,,,599.9978638,0.0006975914002,599.9978638,0.0006421358557,
598.9613037,0.003886383492,,,598.9613037,0.0006580536719,598.9613037,0.0006357067032,
598.0725708,0.003680199618,,,598.0725708,0.0005815550685,598.0725708,0.0004914383171,
597.0355225,0.003524268977,,,597.0355225,0.0006601017667,597.0355225,0.0008347440744,
595.9981689,0.003865515348,,,595.9981689,0.000615590252,595.9981689,0.0005574236275,
594.9605103,0.003811481642,,,594.9605103,0.0006816462846,594.9605103,0.0006562129711,
594.0709229,0.003807538422,,,594.0709229,0.0005871280446,594.0709229,0.0006617350737,
593.0327759,0.003876066767,,,593.0327759,0.0004920861684,593.0327759,0.0005197905703,
591.9943237,0.003979611211,,,591.9943237,0.0005749453558,591.9943237,0.0006635757745,
590.9555664,0.004131132271,,,590.9555664,0.0008980578859,590.9555664,0.0008355221362,
590.0650635,0.004097395111,,,590.0650635,0.0009309245506,590.0650635,0.0009381363634,
589.0258179,0.004006545991,,,589.0258179,0.0009560885374,589.0258179,0.0007399850874,
587.9863281,0.004300849512,,,587.9863281,0.001040152041,587.9863281,0.00104508223,
586.9465332,0.004389903508,,,586.9465332,0.001180553692,586.9465332,0.001079179696,
586.0550537,0.004209356382,,,586.0550537,0.0008675540448,586.0550537,0.0007010916597,
585.0147705,0.004287594464,,,585.0147705,0.001161631779,585.0147705,0.0009529234958,
583.9741821,0.004432345275,,,583.9741821,0.0010765068,583.9741821,0.001086679404,
582.9332886,0.004348380957,,,582.9332886,0.0009997009765,582.9332886,0.0009474236867,
582.0409546,0.004361715633,,,582.0409546,0.001111021964,582.0409546,0.001003904152,
580.9995728,0.004707755521,,,580.9995728,0.001455882913,580.9995728,0.001181903412,
579.9579468,0.004667642061,,,579.9579468,0.00133530749,579.9579468,0.001097838394,
579.0648804,0.004709011875,,,579.0648804,0.001121714362,579.0648804,0.001105753705,
578.0227051,0.004723614082,,,578.0227051,0.001321779564,578.0227051,0.00116004853,
576.9802856,0.00477943616,,,576.9802856,0.001349069527,576.9802856,0.001219905331,
575.9376221,0.004605424125,,,575.9376221,0.001249577268,575.9376221,0.001139492495,
575.0436401,0.004867829382,,,575.0436401,0.001486869645,575.0436401,0.00130155345,
574.0004272,0.004977449309,,,574.0004272,0.00153565302,574.0004272,0.001254172297,
572.9569702,0.004773390479,,,572.9569702,0.001416224055,572.9569702,0.00118320121,
572.0623779,0.005115462933,,,572.0623779,0.00165675173,572.0623779,0.001465441077,
571.0183716,0.005141551606,,,571.0183716,0.001635548542,571.0183716,0.001430741861,
569.9741821,0.005131257232,,,569.9741821,0.001641265,569.9741821,0.001503571752,
568.9296265,0.005216525868,,,568.9296265,0.001798756537,568.9296265,0.00137392024,
568.0341187,0.005301889963,,,568.0341187,0.001868294436,568.0341187,0.001580544747,
566.9891357,0.005512174685,,,566.9891357,0.002099474194,566.9891357,0.001784252352,
565.9438477,0.005570458248,,,565.9438477,0.001965952339,565.9438477,0.001619335031,
565.0477295,0.005366461352,,,565.0477295,0.001975001534,565.0477295,0.001549213543,
564.0019531,0.005564243998,,,564.0019531,0.002262128051,564.0019531,0.001617957954,
562.9558716,0.00562730711,,,562.9558716,0.002183785429,562.9558716,0.001728554023,
562.059082,0.005871150177,,,562.059082,0.002424842911,562.059082,0.00180907594,
561.0125732,0.005822821986,,,561.0125732,0.00223907386,561.0125732,0.001771880081,
559.9657593,0.005953598768,,,559.9657593,0.002481307602,559.9657593,0.001840399927,
559.0682983,0.006008319091,,,559.0682983,0.002440826036,559.0682983,0.001851344365,
558.0209961,0.006032965612,,,558.0209961,0.002523797564,558.0209961,0.00198704144,
556.9734497,0.006195944268,,,556.9734497,0.002583061345,556.9734497,0.002372003393,
555.9256592,0.006346979644,,,555.9256592,0.002902486129,555.9256592,0.002294291509,
555.0273438,0.006320083048,,,555.0273438,0.002770332154,555.0273438,0.002308083931,
553.9790039,0.006465328857,,,553.9790039,0.002868427662,553.9790039,0.002275607316,
552.930481,0.006510680541,,,552.930481,0.00293785031,552.930481,0.002339703962,
552.0314941,0.006657488178,,,552.0314941,0.003064685035,552.0314941,0.002506769728,
550.9824219,0.00691871671,,,550.9824219,0.003282157239,550.9824219,0.002529577818,
549.9331665,0.007053691428,,,549.9331665,0.003267942695,549.9331665,0.002559131011,
549.0335083,0.007217238192,,,549.0335083,0.003512786468,549.0335083,0.002756238449,
547.9837646,0.007469533477,,,547.9837646,0.003619533032,547.9837646,0.002856076462,
546.9337158,0.007642878685,,,546.9337158,0.003914566711,546.9337158,0.002905378817,
546.0334473,0.007885852829,,,546.0334473,0.004148093052,546.0334473,0.00307889306,
544.9829102,0.008168526925,,,544.9829102,0.004367546644,544.9829102,0.003400091548,
543.9321289,0.008550218306,,,543.9321289,0.004662591964,543.9321289,0.00346657238,
543.03125,0.008899374865,,,543.03125,0.005055537913,543.03125,0.003718812484,
541.9800415,0.009226363152,,,541.9800415,0.005376105662,541.9800415,0.004229221959,
540.9285278,0.009700406343,,,540.9285278,0.005643435288,540.9285278,0.004347230308,
540.0269775,0.01029558294,,,540.0269775,0.006244497839,540.0269775,0.004864688031,
538.9750366,0.01114997361,,,538.9750366,0.006940442603,538.9750366,0.005292089656,
538.0731201,0.01198782027,,,538.0731201,0.007534296252,538.0731201,0.005667090416,
537.0206299,0.01280177105,,,537.0206299,0.008417601697,537.0206299,0.006287462544,
535.9679565,0.01361182798,,,535.9679565,0.009146146476,535.9679565,0.006843395531,
535.0654297,0.01535991486,,,535.0654297,0.01067694742,535.0654297,0.007780134678,
534.012207,0.01683068089,,,534.012207,0.01179302204,534.012207,0.00893036928,
532.9588013,0.01895147748,,,532.9588013,0.01372626983,532.9588013,0.01042341813,
532.0556641,0.02125467174,,,532.0556641,0.01561813988,532.0556641,0.01175602525,
531.00177,0.02363795415,,,531.00177,0.01778923534,531.00177,0.01330797281,
529.9476318,0.02726041712,,,529.9476318,0.02075851336,529.9476318,0.01537855342,
529.0438232,0.03034449555,,,529.0438232,0.02356492355,529.0438232,0.01776186377,
527.9892578,0.0354151316,,,527.9892578,0.0279461164,527.9892578,0.02106985636,
526.9343872,0.04132223129,,,526.9343872,0.03314266354,526.9343872,0.02480569854,
526.0300293,0.04617236555,,,526.0300293,0.03707840666,526.0300293,0.02802151628,
524.9746704,0.05313980952,,,524.9746704,0.04366323724,524.9746704,0.03287149221,
524.0699463,0.0614974983,,,524.0699463,0.05031764507,524.0699463,0.03805492818,
523.0141602,0.07340322435,,,523.0141602,0.06145705655,523.0141602,0.04614616558,
521.9581299,0.08763961494,,,521.9581299,0.07340548933,521.9581299,0.05496680737,
521.0527344,0.1021549553,,,521.0527344,0.08575385064,521.0527344,0.06465815008,
519.9962158,0.1200548038,,,519.9962158,0.1014755145,519.9962158,0.0765356645,
518.9395142,0.1415780783,,,518.9395142,0.1208059713,518.9395142,0.09110613912,
518.0335693,0.16418311,,,518.0335693,0.1412061006,518.0335693,0.1061343774,
516.9763794,0.198344484,,,516.9763794,0.1712457687,516.9763794,0.1285520196,
516.0700073,0.2320970148,,,516.0700073,0.1997656226,516.0700073,0.1504210383,
515.0123291,0.2783290446,,,515.0123291,0.2399823219,515.0123291,0.1799027473,
513.9544678,0.3279129565,,,513.9544678,0.2845516205,513.9544678,0.2132941037,
513.0475464,0.3744322956,,,513.0475464,0.3246249855,513.0475464,0.2434069365,
511.9891663,0.4433025122,,,511.9891663,0.3860461116,511.9891663,0.2887792587,
510.930603,0.5254871249,,,510.930603,0.4593744874,510.930603,0.344658494,
510.0230713,0.6098989248,,,510.0230713,0.5306631923,510.0230713,0.399956286,
508.9640503,0.7162277699,,,508.9640503,0.6289396882,508.9640503,0.4703128934,
508.0561218,0.8056498766,,,508.0561218,0.7044816017,508.0561218,0.5286710858,
506.9966431,0.9169805646,,,506.9966431,0.8048191071,506.9966431,0.60590446,
505.9369202,1.061062217,,,505.9369202,0.9339702725,505.9369202,0.7021449208,
505.0284119,1.20388329,,,505.0284119,1.061980963,505.0284119,0.7982156277,
503.9682617,1.373461604,,,503.9682617,1.205498338,503.9682617,0.9078142047,
503.0593872,1.50570786,,,503.0593872,1.327523351,503.0593872,0.9985934496,
501.9987793,1.655825019,,,501.9987793,1.464871526,501.9987793,1.101631641,
500.9379578,1.799584508,,,500.9379578,1.600816727,500.9379578,1.207419991,
500.0284729,1.971675754,,,500.0284729,1.748710036,500.0284729,1.3222363,
498.9672241,2.124471426,,,498.9672241,1.889851928,498.9672241,1.438809037,
498.057373,2.244484663,,,498.057373,2.002871513,498.057373,1.5284307,
496.9956665,2.350217819,,,496.9956665,2.106604815,496.9956665,1.613587379,
495.9337158,2.436412811,,,495.9337158,2.201406479,495.9337158,1.693894982,
495.0232849,2.521691799,,,495.0232849,2.283526421,495.0232849,1.770387053,
493.960907,2.586627245,,,493.960907,2.362819195,493.960907,1.842835784,
493.0501404,2.660450697,,,493.0501404,2.425461054,493.0501404,1.891454577,
491.9873047,2.702614069,,,491.9873047,2.463461399,491.9873047,1.919583797,
490.9242859,2.68397522,,,490.9242859,2.470085382,490.9242859,1.927992225,
490.0129089,2.698413849,,,490.0129089,2.461336613,490.0129089,1.932917953,
488.9494324,2.672287703,,,488.9494324,2.456284761,488.9494324,1.918694139,
488.0377197,2.659793139,,,488.0377197,2.438064337,488.0377197,1.896119952,
486.9738159,2.619510174,,,486.9738159,2.391926289,486.9738159,1.857970476,
486.0617371,2.580311775,,,486.0617371,2.349414349,486.0617371,1.817215443,
484.997406,2.516683817,,,484.997406,2.282134771,484.997406,1.755547166,
483.9328613,2.460413694,,,483.9328613,2.226127386,483.9328613,1.704101324,
483.0202026,2.37458396,,,483.0202026,2.137917519,483.0202026,1.635436773,
481.9552002,2.280295849,,,481.9552002,2.041333914,481.9552002,1.557468772,
481.0422058,2.177698851,,,481.0422058,1.952448845,481.0422058,1.486569643,
479.9768066,2.083864212,,,479.9768066,1.862720728,479.9768066,1.414723635,
479.0634155,2.011193991,,,479.0634155,1.79147768,479.0634155,1.357224226,
477.9975891,1.90286243,,,477.9975891,1.697055817,477.9975891,1.282973051,
476.9315491,1.80532217,,,476.9315491,1.603497267,476.9315491,1.211681366,
476.0176086,1.725822926,,,476.0176086,1.529726386,476.0176086,1.152823567,
474.9511719,1.63344419,,,474.9511719,1.449970603,474.9511719,1.089618206,
474.0368652,1.579675198,,,474.0368652,1.397735357,474.0368652,1.051296592,
472.9700012,1.512127519,,,472.9700012,1.339489579,472.9700012,1.007866621,
472.0553589,1.447289586,,,472.0553589,1.279417992,472.0553589,0.9623698592,
470.9880371,1.387615442,,,470.9880371,1.228421211,470.9880371,0.9230661392,
470.0730591,1.341613293,,,470.0730591,1.186131954,470.0730591,0.8915430307,
469.0053406,1.297371387,,,469.0053406,1.145443201,469.0053406,0.8609194756,
467.9374084,1.255046129,,,467.9374084,1.109393477,467.9374084,0.8325084448,
467.0218811,1.223760486,,,467.0218811,1.080078959,467.0218811,0.8109077215,
465.9535522,1.183437586,,,465.9535522,1.044697046,465.9535522,0.784653306,
465.0376587,1.153532028,,,465.0376587,1.017897606,465.0376587,0.7640067935,
463.9689026,1.121660471,,,463.9689026,0.9894979596,463.9689026,0.7428530455,
463.0526733,1.102650046,,,463.0526733,0.9734041691,463.0526733,0.7306727171,
461.9835205,1.07306242,,,461.9835205,0.9467805028,461.9835205,0.7104213834,
461.066925,1.03977704,,,461.066925,0.9176974297,461.066925,0.6884034276,
459.9973755,1.008559585,,,459.9973755,0.890550673,459.9973755,0.6682024002,
458.9276123,0.9742678404,,,458.9276123,0.8602266908,458.9276123,0.6450061798,
458.0104675,0.9448879957,,,458.0104675,0.8329339027,458.0104675,0.6245348454,
456.9403076,0.9077446461,,,456.9403076,0.8011059165,456.9403076,0.6007751226,
456.0228577,0.8703583479,,,456.0228577,0.7691917419,456.0228577,0.5766713023,
454.9522705,0.8261309266,,,454.9522705,0.7288078666,454.9522705,0.5468360186,
454.0344543,0.7883825302,,,454.0344543,0.6958529949,454.0344543,0.5220741034,
452.963501,0.7469556928,,,452.963501,0.6585831046,452.963501,0.493943423,
452.0453491,0.7172904611,,,452.0453491,0.632404685,452.0453491,0.4740047157,
450.9739685,0.6730309129,,,450.9739685,0.5937701464,450.9739685,0.4448761642,
450.055481,0.633197248,,,450.055481,0.5582276583,450.055481,0.4180939794,
448.9837341,0.5944280028,,,448.9837341,0.5226893425,448.9837341,0.3922412992,
448.0649109,0.5609639287,,,448.0649109,0.4937667549,448.0649109,0.3698992133,
446.9927368,0.5277855992,,,446.9927368,0.4645976722,446.9927368,0.348480165,
446.0735779,0.5023603439,,,446.0735779,0.4408441782,446.0735779,0.330889374,
445.0010376,0.4690369666,,,445.0010376,0.4119982421,445.0010376,0.3086211085,
443.9282837,0.4382394552,,,443.9282837,0.3850897551,443.9282837,0.2885563076,
443.008606,0.4138294756,,,443.008606,0.3637920022,443.008606,0.2723852396,
441.9354553,0.3861380517,,,441.9354553,0.3391192257,441.9354553,0.2537089586,
441.0154419,0.3675940335,,,441.0154419,0.3229258358,441.0154419,0.2421701252,
439.941925,0.3470934033,,,439.941925,0.3043054044,439.941925,0.2283688784,
439.0215759,0.327015698,,,439.0215759,0.2874076068,439.0215759,0.2156077772,
437.9476624,0.3092237711,,,437.9476624,0.2706474364,437.9476624,0.2027479112,
437.0270081,0.2934808433,,,437.0270081,0.2572705448,437.0270081,0.1926408261,
435.9526978,0.2785800099,,,435.9526978,0.2434106469,435.9526978,0.182740882,
435.0317078,0.2673476338,,,435.0317078,0.2338785678,435.0317078,0.1753985137,
433.9570313,0.2537883222,,,433.9570313,0.2217784077,433.9570313,0.1663195789,
433.0357056,0.2414452434,,,433.0357056,0.2110467702,433.0357056,0.1583562791,
431.9606323,0.2287890911,,,431.9606323,0.1996099651,431.9606323,0.1496253163,
431.0390015,0.21846129,,,431.0390015,0.1905899793,431.0390015,0.1427806765,
429.9635315,0.20787175,,,429.9635315,0.1813298762,429.9635315,0.1356247365,
429.0415649,0.1988706887,,,429.0415649,0.1734327376,429.0415649,0.1297602057,
427.9657593,0.1872849464,,,427.9657593,0.1629782915,427.9657593,0.1220186278,
427.043457,0.1776455492,,,427.043457,0.154393971,427.043457,0.1157086641,
425.9672852,0.1674260348,,,425.9672852,0.1455556303,425.9672852,0.1089097559,
425.0446777,0.1603927463,,,425.0446777,0.1390299946,425.0446777,0.1041169167,
423.9681091,0.151912719,,,423.9681091,0.1315875053,423.9681091,0.09867119789,
423.045166,0.1433573961,,,423.045166,0.1240964979,423.045166,0.09306421876,
421.9682312,0.1345135272,,,421.9682312,0.1163787395,421.9682312,0.0873792991,
421.0449829,0.1278259307,,,421.0449829,0.1103571504,421.0449829,0.08280111849,
419.9676819,0.1213422343,,,419.9676819,0.1046474054,419.9676819,0.07839997858,
419.0440979,0.1166923568,,,419.0440979,0.1005213484,419.0440979,0.07521538436,
417.9664307,0.1103626564,,,417.9664307,0.09499295801,417.9664307,0.07095970958,
417.042572,0.1048638374,,,417.042572,0.09004315734,417.042572,0.06728322804,
415.9645081,0.09864702821,,,415.9645081,0.08498238772,415.9645081,0.06345191598,
415.0403137,0.09562808275,,,415.0403137,0.08189644665,415.0403137,0.06125077605,
413.9619141,0.09103236347,,,413.9619141,0.07786084712,413.9619141,0.05838349089,
413.0374146,0.08861383051,,,413.0374146,0.07565170527,413.0374146,0.05663822591,
411.9586487,0.08476931602,,,411.9586487,0.07230981439,411.9586487,0.05400141329,
411.033844,0.08200567216,,,411.033844,0.06965751946,411.033844,0.0519602038,
409.9547119,0.07986073196,,,409.9547119,0.06787516922,409.9547119,0.0508582294,
409.0296021,0.07793663442,,,409.0296021,0.06623964757,409.0296021,0.04960527644,
