0.1M NaOH1,,Fluo base,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
619.9324341,0.02581747435,619.9324341,0.3720051646,
619.0487061,0.02546065673,619.0487061,0.3787201047,
618.0174561,0.02572377957,618.0174561,0.3866576552,
616.9859009,0.02558575943,616.9859009,0.3932621181,
615.9541016,0.02543993294,615.9541016,0.4019049704,
615.069458,0.02530696988,615.069458,0.4095315337,
614.0370483,0.02534848824,614.0370483,0.4187853634,
613.0043945,0.02537502535,613.0043945,0.4275576174,
611.9714355,0.02516003139,611.9714355,0.4351371825,
610.9382324,0.02521415241,610.9382324,0.4435066879,
610.0523682,0.0254302714,610.0523682,0.4514536262,
609.0185547,0.02514637075,609.0185547,0.4618695676,
607.9844971,0.02479572222,607.9844971,0.4709919095,
606.9501343,0.02457882278,606.9501343,0.4800330698,
606.0633545,0.02478423901,606.0633545,0.4876276851,
605.0284424,0.0251493603,605.0284424,0.4968081415,
603.9932861,0.0251053106,603.9932861,0.5059444904,
602.9578247,0.0250580851,602.9578247,0.5167300701,
602.0700684,0.02480717935,602.0700684,0.5261196494,
601.0341187,0.02468032762,601.0341187,0.5372520089,
599.9978638,0.02446523868,599.9978638,0.5483250022,
598.9613037,0.02396838367,598.9613037,0.5584224463,
598.0725708,0.02396687865,598.0725708,0.566591084,
597.0355225,0.02426917106,597.0355225,0.578520596,
595.9981689,0.02402167395,595.9981689,0.5910382271,
594.9605103,0.02393334359,594.9605103,0.6029824615,
594.0709229,0.02378741466,594.0709229,0.6140571237,
593.0327759,0.02366127074,593.0327759,0.6249533296,
591.9943237,0.02347928286,591.9943237,0.6361245513,
590.9555664,0.02346917242,590.9555664,0.6484718919,
590.0650635,0.02328718267,590.0650635,0.6607913375,
589.0258179,0.02313950472,589.0258179,0.6739104986,
587.9863281,0.02295918204,587.9863281,0.6869701743,
586.9465332,0.02281461656,586.9465332,0.7004375458,
586.0550537,0.02276196517,586.0550537,0.7111112475,
585.0147705,0.02269415557,585.0147705,0.7233326435,
583.9741821,0.02246230096,583.9741821,0.737813592,
582.9332886,0.02195055038,582.9332886,0.7525507212,
582.0409546,0.02201753668,582.0409546,0.7654069066,
580.9995728,0.02158454247,580.9995728,0.7795487046,
579.9579468,0.02173027769,579.9579468,0.7928958535,
579.0648804,0.02147551812,579.0648804,0.8025577068,
578.0227051,0.02115439996,578.0227051,0.8188078403,
576.9802856,0.02099435031,576.9802856,0.8353156447,
575.9376221,0.02078281716,575.9376221,0.8511460423,
575.0436401,0.02062898502,575.0436401,0.8654965162,
574.0004272,0.02031128481,574.0004272,0.8814885616,
572.9569702,0.02018481679,572.9569702,0.8966688514,
572.0623779,0.02004640549,572.0623779,0.9126714468,
571.0183716,0.01978214644,571.0183716,0.9316223264,
569.9741821,0.01967102848,569.9741821,0.9517334104,
568.9296265,0.01935714111,568.9296265,0.9722962379,
568.0341187,0.01902284473,568.0341187,0.9895180464,
566.9891357,0.01897278614,566.9891357,1.010105252,
565.9438477,0.01866261847,565.9438477,1.031742334,
565.0477295,0.01849376038,565.0477295,1.054396868,
564.0019531,0.01834522001,564.0019531,1.081683636,
562.9558716,0.01784997247,562.9558716,1.111466289,
562.059082,0.01765991375,562.059082,1.136848807,
561.0125732,0.0174724739,561.0125732,1.166226029,
559.9657593,0.01732681319,559.9657593,1.198522568,
559.0682983,0.01716426387,559.0682983,1.236145735,
558.0209961,0.01682435721,558.0209961,1.280293107,
556.9734497,0.01654166915,556.9734497,1.329996586,
555.9256592,0.01625389606,555.9256592,1.383037686,
555.0273438,0.01610337943,555.0273438,1.420856833,
553.9790039,0.01583729312,553.9790039,1.480473518,
552.930481,0.01580110565,552.930481,1.552511454,
552.0314941,0.01559710316,552.0314941,1.623681188,
550.9824219,0.01540392544,550.9824219,1.704123259,
549.9331665,0.01525504235,549.9331665,1.809413314,
549.0335083,0.01518246997,549.0335083,1.887834787,
547.9837646,0.01552997343,547.9837646,2.020583391,
