#MultiHarp 150  Histogram Data			2023-07-14 14:58:16
#channels per curve
65536
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/bin
0.0400	0.0400	0.0400	0.0400	
#counts
1232	1256	0	0	
1188	1182	0	0	
1139	1175	0	0	
1139	1152	0	0	
1147	1181	0	0	
1126	1075	0	0	
1143	1083	0	0	
1088	1120	0	0	
1058	1116	0	0	
1057	1064	0	0	
1016	1081	0	0	
1076	1041	0	0	
1016	1050	0	0	
1051	1005	0	0	
1041	1025	0	0	
1010	995	0	0	
1022	1051	0	0	
1017	1021	0	0	
1026	997	0	0	
967	972	0	0	
967	1027	0	0	
930	909	0	0	
966	966	0	0	
924	956	0	0	
884	928	0	0	
929	896	0	0	
902	926	0	0	
893	832	0	0	
934	923	0	0	
885	913	0	0	
848	862	0	0	
888	848	0	0	
838	811	0	0	
792	828	0	0	
832	857	0	0	
812	796	0	0	
803	811	0	0	
827	775	0	0	
810	810	0	0	
831	757	0	0	
831	779	0	0	
795	740	0	0	
684	775	0	0	
772	780	0	0	
764	713	0	0	
718	746	0	0	
718	712	0	0	
712	751	0	0	
719	709	0	0	
694	709	0	0	
699	737	0	0	
722	669	0	0	
711	702	0	0	
674	660	0	0	
661	680	0	0	
688	701	0	0	
672	668	0	0	
648	638	0	0	
645	611	0	0	
626	641	0	0	
639	669	0	0	
664	623	0	0	
662	643	0	0	
648	630	0	0	
660	624	0	0	
591	598	0	0	
621	593	0	0	
624	612	0	0	
592	577	0	0	
633	608	0	0	
617	596	0	0	
569	602	0	0	
556	613	0	0	
563	579	0	0	
563	569	0	0	
576	566	0	0	
568	603	0	0	
534	526	0	0	
526	584	0	0	
507	528	0	0	
525	530	0	0	
509	537	0	0	
562	538	0	0	
544	540	0	0	
521	508	0	0	
524	476	0	0	
538	562	0	0	
486	521	0	0	
544	506	0	0	
476	506	0	0	
513	448	0	0	
523	487	0	0	
426	472	0	0	
511	459	0	0	
482	488	0	0	
475	492	0	0	
457	470	0	0	
471	486	0	0	
470	489	0	0	
433	494	0	0	
460	435	0	0	
477	456	0	0	
417	475	0	0	
431	452	0	0	
421	442	0	0	
430	402	0	0	
422	463	0	0	
421	393	0	0	
440	428	0	0	
431	457	0	0	
427	440	0	0	
434	429	0	0	
419	420	0	0	
435	404	0	0	
416	379	0	0	
444	386	0	0	
390	420	0	0	
410	417	0	0	
392	403	0	0	
394	360	0	0	
376	395	0	0	
392	386	0	0	
399	417	0	0	
393	374	0	0	
367	360	0	0	
373	393	0	0	
335	400	0	0	
391	381	0	0	
402	377	0	0	
343	377	0	0	
360	360	0	0	
370	366	0	0	
367	357	0	0	
358	361	0	0	
344	337	0	0	
353	349	0	0	
332	332	0	0	
354	376	0	0	
314	342	0	0	
363	334	0	0	
357	333	0	0	
349	351	0	0	
344	366	0	0	
335	343	0	0	
331	342	0	0	
322	319	0	0	
330	325	0	0	
309	335	0	0	
318	318	0	0	
340	308	0	0	
349	325	0	0	
330	310	0	0	
303	321	0	0	
289	292	0	0	
332	325	0	0	
300	324	0	0	
317	314	0	0	
295	355	0	0	
359	304	0	0	
314	294	0	0	
305	287	0	0	
263	281	0	0	
309	326	0	0	
305	287	0	0	
258	269	0	0	
332	288	0	0	
249	271	0	0	
303	294	0	0	
291	270	0	0	
300	274	0	0	
292	281	0	0	
301	267	0	0	
274	303	0	0	
276	280	0	0	
281	291	0	0	
270	275	0	0	
280	226	0	0	
254	277	0	0	
249	285	0	0	
278	279	0	0	
275	282	0	0	
241	277	0	0	
277	242	0	0	
292	226	0	0	
261	251	0	0	
265	239	0	0	
246	298	0	0	
274	263	0	0	
262	280	0	0	
255	241	0	0	
251	235	0	0	
251	242	0	0	
234	274	0	0	
259	226	0	0	
251	250	0	0	
242	252	0	0	
263	252	0	0	
242	229	0	0	
233	235	0	0	
234	237	0	0	
246	241	0	0	
251	217	0	0	
238	250	0	0	
221	242	0	0	
217	229	0	0	
228	242	0	0	
225	245	0	0	
225	259	0	0	
247	218	0	0	
260	236	0	0	
254	207	0	0	
215	254	0	0	
233	199	0	0	
208	219	0	0	
206	229	0	0	
188	226	0	0	
217	213	0	0	
221	245	0	0	
213	202	0	0	
213	192	0	0	
194	204	0	0	
234	219	0	0	
197	223	0	0	
217	210	0	0	
237	224	0	0	
193	210	0	0	
228	193	0	0	
199	209	0	0	
216	225	0	0	
211	230	0	0	
209	198	0	0	
219	219	0	0	
180	206	0	0	
212	185	0	0	
181	203	0	0	
179	165	0	0	
195	166	0	0	
185	169	0	0	
173	209	0	0	
214	196	0	0	
190	195	0	0	
185	192	0	0	
185	202	0	0	
203	212	0	0	
180	200	0	0	
189	189	0	0	
178	179	0	0	
173	187	0	0	
186	184	0	0	
194	200	0	0	
193	197	0	0	
190	173	0	0	
196	193	0	0	
179	169	0	0	
176	181	0	0	
170	186	0	0	
195	190	0	0	
184	210	0	0	
192	167	0	0	
174	171	0	0	
186	181	0	0	
188	167	0	0	
161	161	0	0	
143	168	0	0	
206	166	0	0	
184	151	0	0	
187	180	0	0	
187	174	0	0	
189	126	0	0	
179	177	0	0	
182	171	0	0	
161	200	0	0	
166	172	0	0	
155	142	0	0	
163	148	0	0	
176	157	0	0	
158	155	0	0	
181	168	0	0	
152	152	0	0	
172	155	0	0	
159	164	0	0	
167	147	0	0	
125	156	0	0	
172	151	0	0	
157	169	0	0	
144	165	0	0	
146	148	0	0	
145	137	0	0	
168	163	0	0	
155	146	0	0	
168	151	0	0	
139	154	0	0	
129	141	0	0	
145	135	0	0	
159	148	0	0	
163	176	0	0	
138	153	0	0	
165	136	0	0	
159	132	0	0	
156	152	0	0	
144	160	0	0	
158	145	0	0	
161	126	0	0	
143	150	0	0	
152	124	0	0	
148	157	0	0	
133	126	0	0	
149	167	0	0	
177	168	0	0	
153	158	0	0	
138	154	0	0	
164	137	0	0	
152	111	0	0	
152	138	0	0	
150	170	0	0	
144	173	0	0	
146	157	0	0	
119	134	0	0	
149	134	0	0	
149	133	0	0	
148	116	0	0	
138	154	0	0	
129	141	0	0	
113	130	0	0	
143	139	0	0	
141	141	0	0	
123	141	0	0	
136	129	0	0	
140	92	0	0	
114	132	0	0	
126	135	0	0	
143	132	0	0	
114	147	0	0	
127	125	0	0	
135	124	0	0	
129	102	0	0	
131	107	0	0	
110	143	0	0	
120	110	0	0	
132	104	0	0	
140	137	0	0	
129	109	0	0	
126	126	0	0	
153	129	0	0	
126	130	0	0	
146	132	0	0	
124	115	0	0	
114	129	0	0	
139	131	0	0	
121	128	0	0	
140	112	0	0	
114	130	0	0	
122	128	0	0	
123	103	0	0	
121	128	0	0	
109	118	0	0	
111	113	0	0	
112	111	0	0	
104	116	0	0	
137	126	0	0	
124	123	0	0	
142	132	0	0	
117	116	0	0	
88	103	0	0	
94	99	0	0	
128	98	0	0	
98	107	0	0	
123	116	0	0	
94	127	0	0	
120	113	0	0	
102	111	0	0	
136	106	0	0	
117	118	0	0	
109	95	0	0	
131	102	0	0	
122	102	0	0	
135	106	0	0	
134	114	0	0	
104	114	0	0	
104	116	0	0	
99	94	0	0	
130	125	0	0	
129	103	0	0	
89	86	0	0	
123	108	0	0	
105	103	0	0	
96	114	0	0	
113	116	0	0	
105	112	0	0	
103	127	0	0	
105	104	0	0	
109	108	0	0	
101	84	0	0	
94	110	0	0	
106	85	0	0	
103	110	0	0	
105	96	0	0	
96	89	0	0	
106	113	0	0	
95	99	0	0	
102	103	0	0	
108	124	0	0	
112	115	0	0	
